trade_code,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state,code,date
IO2011-C-5500,沪深300指数期权2011C5500,000300.SH,指数期权,认购,欧式,5500.0,100.0,2020-11,2020-11-10,2020-11-20,2020-11-20,,6.0,现金,上市,IO2011-C-5500,2020-11-10
IO2011-P-5500,沪深300指数期权2011P5500,000300.SH,指数期权,认沽,欧式,5500.0,100.0,2020-11,2020-11-10,2020-11-20,2020-11-20,,533.8,现金,上市,IO2011-P-5500,2020-11-10
IO2012-C-5500,沪深300指数期权2012C5500,000300.SH,指数期权,认购,欧式,5500.0,100.0,2020-12,2020-11-10,2020-12-18,2020-12-18,,34.4,现金,上市,IO2012-C-5500,2020-11-10
IO2012-P-5500,沪深300指数期权2012P5500,000300.SH,指数期权,认沽,欧式,5500.0,100.0,2020-12,2020-11-10,2020-12-18,2020-12-18,,567.4,现金,上市,IO2012-P-5500,2020-11-10
IO2101-C-4200,沪深300指数期权2101C4200,000300.SH,指数期权,认购,欧式,4200.0,100.0,2021-01,2020-10-26,2021-01-15,2021-01-15,,511.0,现金,上市,IO2101-C-4200,2020-10-26
IO2101-C-4250,沪深300指数期权2101C4250,000300.SH,指数期权,认购,欧式,4250.0,100.0,2021-01,2020-10-20,2021-01-15,2021-01-15,,473.4,现金,上市,IO2101-C-4250,2020-10-20
IO2101-C-4300,沪深300指数期权2101C4300,000300.SH,指数期权,认购,欧式,4300.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,500.6,现金,上市,IO2101-C-4300,2020-10-19
IO2101-C-4350,沪深300指数期权2101C4350,000300.SH,指数期权,认购,欧式,4350.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,464.0,现金,上市,IO2101-C-4350,2020-10-19
IO2101-C-4400,沪深300指数期权2101C4400,000300.SH,指数期权,认购,欧式,4400.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,428.8,现金,上市,IO2101-C-4400,2020-10-19
IO2101-C-4450,沪深300指数期权2101C4450,000300.SH,指数期权,认购,欧式,4450.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,395.2,现金,上市,IO2101-C-4450,2020-10-19
IO2101-C-4500,沪深300指数期权2101C4500,000300.SH,指数期权,认购,欧式,4500.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,363.4,现金,上市,IO2101-C-4500,2020-10-19
IO2101-C-4550,沪深300指数期权2101C4550,000300.SH,指数期权,认购,欧式,4550.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,333.0,现金,上市,IO2101-C-4550,2020-10-19
IO2101-C-4600,沪深300指数期权2101C4600,000300.SH,指数期权,认购,欧式,4600.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,304.4,现金,上市,IO2101-C-4600,2020-10-19
IO2101-C-4650,沪深300指数期权2101C4650,000300.SH,指数期权,认购,欧式,4650.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,277.4,现金,上市,IO2101-C-4650,2020-10-19
IO2101-C-4700,沪深300指数期权2101C4700,000300.SH,指数期权,认购,欧式,4700.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,252.0,现金,上市,IO2101-C-4700,2020-10-19
IO2101-C-4750,沪深300指数期权2101C4750,000300.SH,指数期权,认购,欧式,4750.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,228.4,现金,上市,IO2101-C-4750,2020-10-19
IO2101-C-4800,沪深300指数期权2101C4800,000300.SH,指数期权,认购,欧式,4800.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,206.4,现金,上市,IO2101-C-4800,2020-10-19
IO2101-C-4850,沪深300指数期权2101C4850,000300.SH,指数期权,认购,欧式,4850.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,185.8,现金,上市,IO2101-C-4850,2020-10-19
IO2101-C-4900,沪深300指数期权2101C4900,000300.SH,指数期权,认购,欧式,4900.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,167.0,现金,上市,IO2101-C-4900,2020-10-19
IO2101-C-4950,沪深300指数期权2101C4950,000300.SH,指数期权,认购,欧式,4950.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,149.6,现金,上市,IO2101-C-4950,2020-10-19
IO2101-C-5000,沪深300指数期权2101C5000,000300.SH,指数期权,认购,欧式,5000.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,133.6,现金,上市,IO2101-C-5000,2020-10-19
IO2101-C-5100,沪深300指数期权2101C5100,000300.SH,指数期权,认购,欧式,5100.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,105.6,现金,上市,IO2101-C-5100,2020-10-19
IO2101-C-5200,沪深300指数期权2101C5200,000300.SH,指数期权,认购,欧式,5200.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,82.6,现金,上市,IO2101-C-5200,2020-10-19
IO2101-C-5300,沪深300指数期权2101C5300,000300.SH,指数期权,认购,欧式,5300.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,64.0,现金,上市,IO2101-C-5300,2020-10-19
IO2101-C-5400,沪深300指数期权2101C5400,000300.SH,指数期权,认购,欧式,5400.0,100.0,2021-01,2020-11-06,2021-01-15,2021-01-15,,52.8,现金,上市,IO2101-C-5400,2020-11-06
IO2101-C-5500,沪深300指数期权2101C5500,000300.SH,指数期权,认购,欧式,5500.0,100.0,2021-01,2020-11-10,2021-01-15,2021-01-15,,48.0,现金,上市,IO2101-C-5500,2020-11-10
IO2101-P-4200,沪深300指数期权2101P4200,000300.SH,指数期权,认沽,欧式,4200.0,100.0,2021-01,2020-10-26,2021-01-15,2021-01-15,,40.0,现金,上市,IO2101-P-4200,2020-10-26
IO2101-P-4250,沪深300指数期权2101P4250,000300.SH,指数期权,认沽,欧式,4250.0,100.0,2021-01,2020-10-20,2021-01-15,2021-01-15,,41.0,现金,上市,IO2101-P-4250,2020-10-20
IO2101-P-4300,沪深300指数期权2101P4300,000300.SH,指数期权,认沽,欧式,4300.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,75.8,现金,上市,IO2101-P-4300,2020-10-19
IO2101-P-4350,沪深300指数期权2101P4350,000300.SH,指数期权,认沽,欧式,4350.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,89.0,现金,上市,IO2101-P-4350,2020-10-19
IO2101-P-4400,沪深300指数期权2101P4400,000300.SH,指数期权,认沽,欧式,4400.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,103.6,现金,上市,IO2101-P-4400,2020-10-19
IO2101-P-4450,沪深300指数期权2101P4450,000300.SH,指数期权,认沽,欧式,4450.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,119.8,现金,上市,IO2101-P-4450,2020-10-19
IO2101-P-4500,沪深300指数期权2101P4500,000300.SH,指数期权,认沽,欧式,4500.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,137.6,现金,上市,IO2101-P-4500,2020-10-19
IO2101-P-4550,沪深300指数期权2101P4550,000300.SH,指数期权,认沽,欧式,4550.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,157.0,现金,上市,IO2101-P-4550,2020-10-19
IO2101-P-4600,沪深300指数期权2101P4600,000300.SH,指数期权,认沽,欧式,4600.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,178.0,现金,上市,IO2101-P-4600,2020-10-19
IO2101-P-4650,沪深300指数期权2101P4650,000300.SH,指数期权,认沽,欧式,4650.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,200.8,现金,上市,IO2101-P-4650,2020-10-19
IO2101-P-4700,沪深300指数期权2101P4700,000300.SH,指数期权,认沽,欧式,4700.0,100.0,2021-01,2020-10-19,2021-01-15,2021-01-15,,225.2,现金,上市,IO2101-P-4700,2020-10-19
