date,exerciseprice,option_name,change,amount,pre_settle,open,highest,lowest,close,settlement_price,volume,position,up_limit_price,down_limit_price,delta,gamma,vega,theta,rho,code
2020-11-12,4100.0,沪深300指数期权2011C4100,4.03344811,0.0,813.2,,,,846.0,800.8,0.0,70.0,1303.6,322.8,0.985,,,,,IO2011-C-4100
2020-11-12,4150.0,沪深300指数期权2011C4150,3.85220126,0.0,763.2,,,,792.6,751.0,0.0,16.0,1253.6,272.8,0.983,,,,,IO2011-C-4150
2020-11-12,4200.0,沪深300指数期权2011C4200,-1.12139052,993160.0,713.4,705.4,705.4,705.4,705.4,699.0,14.0,27.0,1203.8,223.0,0.996,,,,,IO2011-C-4200
2020-11-12,4250.0,沪深300指数期权2011C4250,-1.14561351,857380.0,663.4,658.8,658.8,647.2,655.8,649.0,13.0,22.0,1153.8,173.0,0.996,,,,,IO2011-C-4250
2020-11-12,4300.0,沪深300指数期权2011C4300,-1.36941637,1333400.0,613.4,622.0,622.0,596.6,605.0,599.0,22.0,57.0,1103.8,123.0,0.995,,,,,IO2011-C-4300
2020-11-12,4350.0,沪深300指数期权2011C4350,-1.80979418,1617560.0,563.6,570.6,570.6,547.0,553.4,549.0,29.0,49.0,1054.0,73.2,0.995,,,,,IO2011-C-4350
2020-11-12,4400.0,沪深300指数期权2011C4400,-2.10198521,1318340.0,513.8,503.8,520.6,490.6,503.0,501.0,26.0,120.0,1004.2,23.4,0.978,,,,,IO2011-C-4400
2020-11-12,4450.0,沪深300指数期权2011C4450,-3.8362069,1096440.0,464.0,475.8,475.8,445.6,446.2,451.0,24.0,231.0,954.4,0.2,0.976,,,,,IO2011-C-4450
2020-11-12,4500.0,沪深300指数期权2011C4500,-2.75096525,1382200.0,414.4,415.8,421.0,394.6,403.0,401.8,34.0,293.0,904.8,0.2,0.967,,,,,IO2011-C-4500
2020-11-12,4550.0,沪深300指数期权2011C4550,-2.79299014,1385920.0000000002,365.2,357.0,368.8,342.4,355.0,350.2,39.0,282.0,855.6,0.2,0.98,,,,,IO2011-C-4550
2020-11-12,4600.0,沪深300指数期权2011C4600,-4.42757748,5917900.0,316.2,341.2,341.2,292.0,302.2,301.0,192.0,903.0,806.6,0.2,0.967,,,,,IO2011-C-4600
2020-11-12,4650.0,沪深300指数期权2011C4650,-5.59284116,1977100.0,268.2,275.0,280.0,244.6,253.2,253.2,76.0,401.0,758.6,0.2,0.941,,,,,IO2011-C-4650
2020-11-12,4700.0,沪深300指数期权2011C4700,-3.63128492,29902260.0,214.8,232.0,233.0,197.0,207.0,207.0,1394.0,2045.0,705.2,0.2,0.898,,,,,IO2011-C-4700
2020-11-12,4750.0,沪深300指数期权2011C4750,-5.45243619,14746140.0,172.4,183.0,188.8,153.0,163.0,163.0,870.0,1111.0,662.8,0.2,0.835,,,,,IO2011-C-4750
2020-11-12,4800.0,沪深300指数期权2011C4800,-6.83890578,44167720.0,131.6,138.0,146.6,113.6,122.6,122.6,3426.0,2722.0,622.0,0.2,0.748,,,,,IO2011-C-4800
2020-11-12,4850.0,沪深300指数期权2011C4850,-8.97703549,22062080.0,95.8,101.6,109.8,79.8,87.2,87.2,2336.0,1682.0,586.2,0.2,0.635,,,,,IO2011-C-4850
2020-11-12,4900.0,沪深300指数期权2011C4900,-10.78717201,49884120.0,68.6,73.8,79.8,54.2,61.2,61.2,7479.0,8319.0,559.0,0.2,0.504,,,,,IO2011-C-4900
2020-11-12,4950.0,沪深300指数期权2011C4950,-15.81196581,16778960.0,46.8,50.0,53.6,34.2,39.4,39.4,3834.0,2610.0,537.2,0.2,0.377,,,,,IO2011-C-4950
2020-11-12,5000.0,沪深300指数期权2011C5000,-17.53246753,16500440.000000002,30.8,35.4,36.4,21.2,25.4,25.4,5945.0,4750.0,521.2,0.2,0.268,,,,,IO2011-C-5000
2020-11-12,5100.0,沪深300指数期权2011C5100,-25.37313433,2512060.0,13.4,15.0,15.4,7.8,10.0,10.0,2291.0,4204.0,503.8,0.2,0.123,,,,,IO2011-C-5100
