date,tradecode,exerciseprice,option_name,change,amount,pre_settle,open,highest,lowest,close,settlement_price,volume,position,up_limit_price,down_limit_price,delta,gamma,vega,theta,rho,code
2020-11-13,IO2011-C-4100,4100.0,沪深300指数期权2011C4100,-7.01798202,2235700.0,800.8,746.8,746.8,743.6,744.6,748.6,30.0,52.0,1291.6,310.0,0.955,,,,,IO2011-C-4100
2020-11-13,IO2011-C-4150,4150.0,沪深300指数期权2011C4150,5.53928096,0.0,751.0,,,,792.6,699.4,0.0,16.0,1241.8,260.2,0.95,,,,,IO2011-C-4150
2020-11-13,IO2011-C-4200,4200.0,沪深300指数期权2011C4200,0.91559371,0.0,699.0,,,,705.4,639.6,0.0,27.0,1189.8,208.2,0.996,,,,,IO2011-C-4200
2020-11-13,IO2011-C-4250,4250.0,沪深300指数期权2011C4250,-7.91987673,118900.0,649.0,591.4,597.6,591.4,597.6,589.8,2.0,22.0,1139.8,158.2,0.996,,,,,IO2011-C-4250
2020-11-13,IO2011-C-4300,4300.0,沪深300指数期权2011C4300,-10.78464107,1019560.0,599.0,562.2,562.2,523.8,534.4,539.8,19.0,57.0,1089.8,108.2,0.995,,,,,IO2011-C-4300
2020-11-13,IO2011-C-4350,4350.0,沪深300指数期权2011C4350,-10.49180328,3512100.0,549.0,493.6,508.6,466.2,491.4,489.8,71.0,52.0,1039.8,58.2,0.994,,,,,IO2011-C-4350
2020-11-13,IO2011-C-4400,4400.0,沪深300指数期权2011C4400,-10.21956088,2603320.0,501.0,464.0,464.0,419.0,449.8,450.2,59.0,120.0,991.8,10.2,0.928,,,,,IO2011-C-4400
2020-11-13,IO2011-C-4450,4450.0,沪深300指数期权2011C4450,-11.61862528,3961820.0,451.0,397.4,407.4,370.4,398.6,390.0,101.0,230.0,941.8,0.2,0.99,,,,,IO2011-C-4450
2020-11-13,IO2011-C-4500,4500.0,沪深300指数期权2011C4500,-12.84221005,2274680.0,401.8,362.4,362.4,317.6,350.2,340.4,68.0,282.0,892.6,0.2,0.985,,,,,IO2011-C-4500
2020-11-13,IO2011-C-4550,4550.0,沪深300指数期权2011C4550,-14.33466591,3905480.0,350.2,314.2,319.4,268.0,300.0,291.0,132.0,248.0,841.0,0.2,0.975,,,,,IO2011-C-4550
2020-11-13,IO2011-C-4600,4600.0,沪深300指数期权2011C4600,-15.94684385,6770720.0,301.0,290.0,290.0,219.0,253.0,242.2,272.0,808.0,791.8,0.2,0.957,,,,,IO2011-C-4600
2020-11-13,IO2011-C-4650,4650.0,沪深300指数期权2011C4650,-19.51026856,3526640.0,253.2,218.0,222.4,171.6,203.8,204.0,180.0,365.0,744.0,0.2,0.853,,,,,IO2011-C-4650
2020-11-13,IO2011-C-4700,4700.0,沪深300指数期权2011C4700,-25.50724638,32984280.0,207.0,192.0,192.0,126.8,154.2,154.2,2217.0,1988.0,697.8,0.2,0.826,,,,,IO2011-C-4700
2020-11-13,IO2011-C-4750,4750.0,沪深300指数期权2011C4750,-31.28834356,21072640.0,163.0,150.0,150.0,87.6,112.0,112.0,1958.0,1085.0,653.8,0.2,0.743,,,,,IO2011-C-4750
2020-11-13,IO2011-C-4800,4800.0,沪深300指数期权2011C4800,-38.3360522,77127920.0,122.6,110.0,110.0,56.2,75.6,75.6,10397.0,2472.0,613.4,0.2,0.622,,,,,IO2011-C-4800
2020-11-13,IO2011-C-4850,4850.0,沪深300指数期权2011C4850,-45.41284404,30530540.0,87.2,76.8,76.8,33.4,47.6,47.6,6493.0,2132.0,578.0,0.2,0.474,,,,,IO2011-C-4850
2020-11-13,IO2011-C-4900,4900.0,沪深300指数期权2011C4900,-54.24836601,36492060.0,61.2,54.8,54.8,19.6,28.0,28.0,11995.0,6671.0,552.0,0.2,0.329,,,,,IO2011-C-4900
2020-11-13,IO2011-C-4950,4950.0,沪深300指数期权2011C4950,-59.89847716,8754700.0,39.4,34.0,34.0,10.6,15.8,15.8,5108.0,2473.0,530.2,0.2,0.211,,,,,IO2011-C-4950
2020-11-13,IO2011-C-5000,5000.0,沪深300指数期权2011C5000,-62.99212598,5936820.0,25.4,22.4,22.4,6.6,9.4,9.4,5353.0,5109.0,516.2,0.2,0.134,,,,,IO2011-C-5000
2020-11-13,IO2011-C-5100,5100.0,沪深300指数期权2011C5100,-60.0,1313440.0,10.0,7.6,7.8,2.4,4.0,4.0,2986.0,3889.0,500.8,0.2,0.059,,,,,IO2011-C-5100
2020-11-13,IO2011-C-5200,5200.0,沪深300指数期权2011C5200,-45.45454545,403980.0,4.4,3.0,3.0,1.2,2.4,2.4,2062.0,2778.0,495.2,0.2,0.033,,,,,IO2011-C-5200
2020-11-13,IO2011-C-5300,5300.0,沪深300指数期权2011C5300,-40.0,104620.0,2.0,1.4,1.4,0.6,1.2,1.2,1047.0,1710.0,492.8,0.2,0.017,,,,,IO2011-C-5300
2020-11-13,IO2011-C-5400,5400.0,沪深300指数期权2011C5400,-50.0,59880.0,1.6,1.2,1.4,0.8,0.8,0.8,570.0,4672.0,492.4,0.2,0.01,,,,,IO2011-C-5400
2020-11-13,IO2011-C-5500,5500.0,沪深300指数期权2011C5500,-33.33333333,5240.0,0.6,0.4,0.6,0.2,0.4,0.4,154.0,441.0,491.4,0.2,0.005,,,,,IO2011-C-5500
2020-11-13,IO2011-P-4100,4100.0,沪深300指数期权2011P4100,0.0,960.0,0.2,0.4,0.4,0.2,0.2,0.2,29.0,836.0,491.0,0.2,-0.003,,,,,IO2011-P-4100
2020-11-13,IO2011-P-4150,4150.0,沪深300指数期权2011P4150,0.0,0.0,0.2,,,,0.2,0.2,0.0,411.0,491.0,0.2,-0.003,,,,,IO2011-P-4150
